"tenant_id","ip_id","inventory_id","last_modification","observaciones","product_id","stock"
"wong","inventory_10010#product_22429","inventory_10010","2024-12-03T00:39:40.722965","venta","product_22429","2926"
"wong","inventory_10010#product_63338","inventory_10010","2024-12-03T00:39:55.554621","venta","product_63338","2838"
"wong","inventory_10029#product_78554","inventory_10029","2024-12-02T08:53:20.412332","Producto agregado al inventario Nicholson Group.","product_78554","3039"
"wong","inventory_10107#product_12422","inventory_10107","2024-12-02T08:53:42.901854","Producto agregado al inventario Grant Group.","product_12422","1368"
"wong","inventory_10107#product_50222","inventory_10107","2024-12-02T08:53:17.217749","Producto agregado al inventario Grant Group.","product_50222","1125"
"wong","inventory_10154#product_45999","inventory_10154","2024-12-02T08:53:03.293190","""Producto agregado al inventario Larson, Fuentes and Moore.""","product_45999","1072"
"wong","inventory_10286#product_91766","inventory_10286","2024-12-02T08:53:09.391930","Producto agregado al inventario Lamb LLC.","product_91766","2713"
"wong","inventory_10351#product_18112","inventory_10351","2024-12-02T08:53:42.527902","Producto agregado al inventario Hale-Howard.","product_18112","986"
"wong","inventory_10351#product_71154","inventory_10351","2024-12-02T08:52:37.665782","Producto agregado al inventario Hale-Howard.","product_71154","1158"
"wong","inventory_10380#product_50132","inventory_10380","2024-12-02T08:52:41.331240","Producto agregado al inventario Watts and Sons.","product_50132","1679"
"wong","inventory_10431#product_59917","inventory_10431","2024-12-02T08:53:11.405445","Producto agregado al inventario Bowman-Ward.","product_59917","1320"
"wong","inventory_10448#product_56970","inventory_10448","2024-12-02T08:53:10.218121","Producto agregado al inventario Porter-Eaton.","product_56970","153"
"wong","inventory_10448#product_8129","inventory_10448","2024-12-02T08:52:41.308751","Producto agregado al inventario Porter-Eaton.","product_8129","420"
"wong","inventory_10448#product_84741","inventory_10448","2024-12-02T08:52:57.231932","Producto agregado al inventario Porter-Eaton.","product_84741","444"
"wong","inventory_10474#product_1687","inventory_10474","2024-12-02T08:53:19.509568","""Producto agregado al inventario Stevenson, Rivera and Blanchard.""","product_1687","1060"
"wong","inventory_10474#product_41731","inventory_10474","2024-12-02T08:52:53.554436","""Producto agregado al inventario Stevenson, Rivera and Blanchard.""","product_41731","1953"
"wong","inventory_10474#product_65335","inventory_10474","2024-12-02T08:53:45.624486","""Producto agregado al inventario Stevenson, Rivera and Blanchard.""","product_65335","1475"
"wong","inventory_10474#product_91101","inventory_10474","2024-12-02T08:53:01.747556","""Producto agregado al inventario Stevenson, Rivera and Blanchard.""","product_91101","955"
"wong","inventory_10480#product_42344","inventory_10480","2024-12-02T08:52:35.921407","""Producto agregado al inventario Robinson, Faulkner and Dawson.""","product_42344","1716"
